transaction_date_month,Average Monthly Spending,Monthly Turnover,Monthly Inflow,Monthly Outflow
1,135.62910344827586,19666.22,10263.87,9402.35
2,113.75976047904192,18997.88,9329.39,9668.49
3,146.71244444444446,19806.18,11844.56,7961.62
4,164.7059638554217,27341.19,12143.22,15197.97
5,134.33843575418996,24046.58,11907.98,12138.60
6,134.5952229299363,21131.45,10888.61,10242.84
7,124.21442176870748,18259.52,8797.12,9462.40
8,133.5659477124183,20435.59,10218.76,10216.83
9,101.64236842105262,19312.05,9574.40,9737.65
10,150.8778918918919,27912.41,13915.66,13996.75
11,153.715,21827.53,10153.73,11673.80
12,134.94481081081082,24964.79,13654.06,11310.73
