transaction_date_week,Average Weekly Spending,Weekly Turnover,Weekly Inflow,Weekly Outflow
1,109.6012,5480.06,3157.65,2322.41
2,72.12830508474576,4255.57,1796.27,2459.30
3,109.22375,5242.74,3007.25,2235.49
4,132.81767441860464,5711.16,1802.89,3908.27
5,122.21804347826087,5622.03,3488.93,2133.10
6,77.21711111111111,3474.77,1781.73,1693.04
7,130.050625,6242.43,3025.24,3217.19
8,112.27600000000001,6175.18,2003.69,4171.49
9,229.32690476190476,9631.73,6982.38,2649.35
10,87.62106382978723,4118.19,1781.68,2336.51
11,133.22102564102565,5195.62,3041.50,2154.12
12,134.74419354838707,8354.14,2444.70,5909.44
13,88.31461538461538,4592.36,3131.73,1460.63
14,78.44288461538461,4079.03,2012.70,2066.33
15,188.60338709677418,11693.41,9221.80,2471.61
16,86.783661971831,6161.64,1765.16,4396.48
17,103.83830188679246,5503.43,3085.73,2417.70
18,117.6640350877193,6706.85,3487.30,3219.55
19,92.23464285714286,5165.14,3291.72,1873.42
20,431.64796875,27625.47,12222.08,15403.39
21,92.09370967741935,5709.81,3119.54,2590.27
22,68.99966101694915,4070.98,1803.08,2267.90
23,87.63754385964913,4995.34,3133.72,1861.62
24,89.80116279069767,3861.45,1746.07,2115.38
25,170.12555555555554,7655.65,3065.53,4590.12
26,78.15714285714286,4376.80,1855.52,2521.28
27,124.60093023255814,5357.84,3059.72,2298.12
28,105.64257142857143,3697.49,1765.81,1931.68
29,155.79979166666666,7478.39,3100.26,4378.13
30,71.59509433962265,3794.54,1746.07,2048.47
31,114.72934782608696,5277.55,3281.63,1995.92
32,86.33673076923077,4489.51,1746.08,2743.43
33,152.6456,7632.28,3059.73,4572.55
34,66.74810344827586,3871.39,1775.11,2096.28
35,142.27812500000002,6829.35,3879.72,2949.63
36,89.80613636363636,3951.47,1746.07,2205.40
37,126.3779411764706,4296.85,3059.73,1237.12
38,124.38033333333333,7462.82,2476.50,4986.32
39,105.16130434782609,4837.42,3059.73,1777.69
40,108.62595238095238,4562.29,1799.85,2762.44
41,87.65517241379311,5084.00,3131.72,1952.28
42,135.76413793103447,7874.32,2762.14,5112.18
43,96.6662,4833.31,3112.74,1720.57
44,81.5335294117647,4158.21,1796.63,2361.58
45,101.16894736842106,5766.63,3131.72,2634.91
46,97.87255813953489,4208.52,1987.19,2221.33
47,133.74035087719298,7623.20,3134.49,4488.71
48,81.88892857142856,4585.78,2247.57,2338.21
49,88.24828571428571,6177.38,3638.68,2538.70
50,111.52404761904762,4684.01,2618.61,2065.40
51,144.81562499999998,6951.15,3186.10,3765.05
52,70.86945454545454,3897.82,1878.59,2019.23
