optimized_transaction_date_week,Average Weekly Spending,Weekly Turnover,Weekly Inflow,Weekly Outflow
1,98.783,1975.66,1681.36,294.30
2,51.169375,1637.42,76.19,1561.23
3,36.30774193548387,1125.54,78.85,1046.69
4,30.34722222222222,546.25,63.74,482.51
5,98.36305555555556,3541.07,2161.45,1379.62
6,51.2869696969697,1692.47,87.84,1604.63
7,25.7052,642.63,57.21,585.42
8,41.73,667.68,534.37,133.31
9,90.20171428571429,3157.06,2544.81,612.25
10,69.21848484848485,2284.21,241.24,2042.97
11,112.685,4056.66,2646.60,1410.06
12,36.251999999999995,906.30,321.71,584.59
13,93.88607142857143,2628.81,1921.35,707.46
14,56.357,1690.71,,1690.71
15,27.22138888888889,979.97,179.89,800.08
16,38.272608695652174,880.27,669.11,211.16
17,21.176129032258064,656.46,100.68,555.78
18,119.10722222222222,4287.86,2531.65,1756.21
19,30.582105263157892,1162.12,55.59,1106.53
20,79.06888888888889,2846.48,2067.19,779.29
21,29.383870967741935,910.90,33.39,877.51
22,100.111,3003.33,2503.10,500.23
23,64.36375,2059.64,78.52,1981.12
24,19.646333333333335,589.39,45.53,543.86
25,36.0864,902.16,380.75,521.41
26,83.2706896551724,2414.85,1838.86,575.99
27,59.895,1916.64,273.76,1642.88
28,20.112916666666667,482.71,181.92,300.79
29,36.14863636363636,795.27,461.40,333.87
30,13.792608695652175,317.23,59.66,257.57
31,72.00892857142857,2016.25,1728.13,288.12
32,58.996956521739136,1356.93,78.66,1278.27
33,21.865238095238094,459.17,122.95,336.22
34,98.28361111111111,3538.21,2260.04,1278.17
35,149.19,4326.51,3110.21,1216.30
36,70.49115384615385,1832.77,50.00,1782.77
37,54.438181818181825,1197.64,682.16,515.48
38,37.198,1115.94,74.99,1040.95
39,70.2285,1404.57,650.04,754.53
40,92.2897435897436,3599.30,2145.13,1454.17
41,42.555416666666666,1021.33,427.90,593.43
42,35.91166666666666,646.41,,646.41
43,46.51173913043478,1069.77,660.45,409.32
44,117.77357142857143,3297.66,2468.73,828.93
45,83.42636363636365,2753.07,640.25,2112.82
46,29.830526315789474,566.78,,566.78
47,118.34275862068965,3431.94,2405.87,1026.07
48,117.37321428571428,3286.45,2468.73,817.72
49,89.15346153846153,2317.99,553.65,1764.34
50,30.379117647058827,1032.89,121.66,911.23
51,27.604193548387098,855.73,107.72,748.01
52,48.41571428571429,1016.73,702.50,314.23
